dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,12.870886,3.201230,1.960737,1.893800,0.791676,-0.271760,3.231385
0.020000,12.832846,3.197853,1.998927,1.909523,0.786191,-0.274245,3.228851
0.020000,12.794485,3.194550,2.037430,1.925137,0.780659,-0.276611,3.226085
0.020000,12.755806,3.191332,2.076243,1.940638,0.775084,-0.278714,3.223080
0.020000,12.716810,3.188210,2.115363,1.956028,0.769478,-0.280320,3.219831
0.020000,12.677499,3.185197,2.154789,1.971305,0.763847,-0.281522,3.216330
0.020000,12.637875,3.182304,2.194519,1.986469,0.758201,-0.282342,3.212572
0.020000,12.597940,3.179544,2.234549,2.001520,0.752550,-0.282509,3.208549
0.020000,12.557696,3.176932,2.274878,2.016458,0.746910,-0.282036,3.204257
0.020000,12.517144,3.174479,2.315504,2.031284,0.741296,-0.280711,3.199687
0.020000,12.476287,3.172202,2.356424,2.045998,0.735719,-0.278815,3.194835
0.020000,12.435128,3.170113,2.397636,2.060602,0.730208,-0.275571,3.189694
0.020000,12.389963,3.167846,2.442858,2.261090,10.024362,464.707714,3.202238
0.020000,12.333830,3.163448,2.499163,2.815264,27.708704,884.217087,3.237339
0.020000,12.277336,3.157008,2.556023,2.842987,1.386179,-1316.126257,3.272890
0.020000,12.220634,3.148484,2.613362,2.866973,1.199306,-9.343623,3.308680
0.020000,12.163881,3.137862,2.671101,2.886934,0.998041,-10.063273,3.344482
0.020000,12.107236,3.125152,2.729154,2.902672,0.786886,-10.557742,3.380059
0.020000,12.050854,3.110390,2.787437,2.914137,0.573241,-10.682262,3.415170
0.020000,11.994879,3.093634,2.845866,2.921414,0.363847,-10.469690,3.449579
0.020000,11.939444,3.074967,2.904359,2.924682,0.163416,-10.021554,3.483061
0.020000,11.884662,3.054488,2.962844,2.924259,-0.021147,-9.228133,3.515408
0.020000,11.830625,3.032311,3.021255,2.920524,-0.186764,-8.280876,3.546434
0.020000,11.777406,3.008562,3.079533,2.913910,-0.330717,-7.197622,3.575976
0.020000,11.725053,2.983371,3.137630,2.904870,-0.451989,-6.063621,3.603898
0.020000,11.673598,2.956874,3.195507,2.893851,-0.550955,-4.948303,3.630088
0.020000,11.623050,2.929205,3.253133,2.881271,-0.628960,-3.900245,3.654460
0.020000,11.573402,2.900497,3.310483,2.867504,-0.688396,-2.971783,3.676946
0.020000,11.524634,2.870879,3.367540,2.852863,-0.732019,-2.181157,3.697497
0.020000,11.476713,2.840477,3.424292,2.837605,-0.762905,-1.544303,3.716078
0.020000,11.429595,2.809408,3.480731,2.821921,-0.784221,-1.065773,3.732665
0.020000,11.383232,2.777790,3.536849,2.805933,-0.799386,-0.758255,3.747242
0.020000,11.337567,2.745732,3.592644,2.789727,-0.810319,-0.546645,3.759796
0.020000,11.292541,2.713340,3.648110,2.773310,-0.820848,-0.526467,3.770316
0.020000,11.248094,2.680720,3.703243,2.756665,-0.832212,-0.568199,3.778788
0.020000,11.204162,2.647972,3.758038,2.739725,-0.847039,-0.741343,3.785196
0.020000,11.160683,2.615197,3.812486,2.722387,-0.866872,-0.991680,3.789518
0.020000,11.117597,2.582496,3.866576,2.704524,-0.893169,-1.314831,3.791724
0.020000,11.074843,2.549971,3.920296,2.685981,-0.927153,-1.699192,3.791776
0.020000,11.032363,2.517726,3.973627,2.666586,-0.969721,-2.128397,3.789627
0.020000,10.990105,2.485865,4.026551,2.646155,-1.021548,-2.591343,3.785217
0.020000,10.948017,2.454499,4.079040,2.624497,-1.082932,-3.069235,3.778478
0.020000,10.906054,2.423741,4.131069,2.601423,-1.153686,-3.537679,3.769331
0.020000,10.864186,2.393715,4.182591,2.576112,-1.265546,-5.593024,3.757689
0.020000,10.822396,2.364556,4.233548,2.547828,-1.414192,-7.432270,3.743464
0.020000,10.780677,2.336401,4.283879,2.516570,-1.562918,-7.436307,3.726569
0.020000,10.739024,2.309383,4.333527,2.482410,-1.708006,-7.254413,3.706920
0.020000,10.697438,2.283637,4.382438,2.445527,-1.844111,-6.805239,3.684442
0.020000,10.655926,2.259290,4.430563,2.406240,-1.964362,-6.012529,3.659081
0.020000,10.614499,2.236462,4.477863,2.365032,-2.060436,-4.803714,3.630808
0.020000,10.573167,2.215263,4.524315,2.322580,-2.122598,-3.108093,3.599631
0.020000,10.531940,2.195788,4.569910,2.279770,-2.140501,-0.895158,3.565610
0.020000,10.490823,2.178116,4.614664,2.237696,-2.103701,1.839978,3.528866
0.020000,10.449811,2.162308,4.658617,2.197625,-2.003536,5.008261,3.489591
0.020000,10.408889,2.148407,4.701835,2.160926,-1.834937,8.429938,3.448054
0.020000,10.368027,2.136439,4.744415,2.128973,-1.597636,11.865050,3.404601
0.020000,10.327187,2.126415,4.786466,2.102578,-1.319772,13.893201,3.359658
0.020000,10.286324,2.118337,4.828121,2.082720,-0.992906,16.343312,3.313705
0.020000,10.245374,2.112193,4.869529,2.070408,-0.615613,18.864665,3.267246
0.020000,10.204276,2.107969,4.910843,2.065708,-0.234965,19.032384,3.220789
0.020000,10.150956,2.104297,4.964290,2.672343,30.331753,1528.335884,3.215018
0.020000,10.087613,2.099091,5.027846,3.177802,25.272947,-252.940273,3.231887
0.020000,10.025206,2.092960,5.090553,3.135375,-2.121377,-1369.716221,3.246874
0.020000,9.963752,2.086049,5.152395,3.092073,-2.165103,-2.186269,3.260007
0.020000,9.903262,2.078497,5.213355,3.047998,-2.203738,-1.931775,3.271323
0.020000,9.843741,2.070435,5.273419,3.003217,-2.239032,-1.764698,3.280861
0.020000,9.785192,2.061987,5.332574,2.957762,-2.272740,-1.685387,3.288663
