dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.688521,5.687442,1.903548,1.285973,0.337363,0.087673,0.302109
0.020000,3.713162,5.695272,1.929404,1.292763,0.339531,0.108366,0.313271
0.020000,3.737843,5.703422,1.955396,1.299613,0.342498,0.148375,0.324665
0.020000,3.762560,5.711901,1.981527,1.306531,0.345869,0.168529,0.336286
0.020000,3.787307,5.720716,2.007797,1.313527,0.349804,0.196734,0.348130
0.020000,3.812080,5.729876,2.034209,1.320613,0.354326,0.226106,0.360193
0.020000,3.836875,5.739388,2.060766,1.327806,0.359633,0.265387,0.372468
0.020000,3.861685,5.749260,2.087468,1.335115,0.365464,0.291544,0.384948
0.020000,3.886507,5.759500,2.114319,1.342554,0.371932,0.323370,0.397627
0.020000,3.911324,5.770112,2.141310,1.349545,0.349566,-1.118302,0.410490
0.020000,3.936112,5.781092,2.168420,1.355525,0.298979,-2.529342,0.423518
0.020000,3.960844,5.792437,2.195630,1.360507,0.249129,-2.492474,0.436690
0.020000,3.985496,5.804143,2.222921,1.364507,0.199966,-2.458172,0.449985
0.020000,4.010043,5.816204,2.250271,1.367534,0.151376,-2.429492,0.463378
0.020000,4.034464,5.828612,2.277663,1.369599,0.103229,-2.407370,0.476849
0.020000,4.058734,5.841359,2.305077,1.370704,0.055254,-2.398741,0.490372
0.020000,4.082824,5.854430,2.332485,1.370385,-0.015966,-3.560998,0.503921
0.020000,4.106704,5.867810,2.359858,1.368644,-0.087016,-3.552517,0.517467
0.020000,4.130355,5.881484,2.387177,1.365951,-0.134683,-2.383325,0.530986
0.020000,4.153756,5.895439,2.414423,1.362296,-0.182727,-2.402207,0.544456
0.020000,4.176888,5.909658,2.441576,1.357670,-0.231321,-2.429715,0.557853
0.020000,4.199734,5.924126,2.468618,1.352075,-0.279720,-2.419926,0.571156
0.020000,4.222276,5.938822,2.495528,1.345494,-0.329085,-2.468244,0.584343
0.020000,4.244498,5.953729,2.522285,1.337892,-0.380062,-2.548875,0.597393
0.020000,4.266390,5.968830,2.548881,1.329759,-0.406649,-1.329318,0.610291
0.020000,4.287954,5.984117,2.575314,1.321649,-0.405516,0.056651,0.623029
0.020000,4.309194,5.999581,2.601587,1.313655,-0.399681,0.291746,0.635599
0.020000,4.321986,6.009342,2.617678,0.804548,-25.455383,-1252.785119,0.669266
0.020000,4.334818,6.019896,2.634292,0.830734,1.309302,1338.234261,0.707768
0.020000,4.346713,6.030486,2.650219,0.796314,-1.720986,-151.514389,0.747591
0.020000,4.357720,6.041114,2.665519,0.765034,-1.563977,7.850422,0.788556
0.020000,4.367901,6.051793,2.680273,0.737703,-1.366556,9.871064,0.830443
0.020000,4.377322,6.062551,2.694574,0.715004,-1.134973,11.579137,0.872989
0.020000,4.386055,6.073430,2.708524,0.697543,-0.873040,13.096656,0.915901
0.020000,4.394173,6.084484,2.722238,0.685704,-0.591946,14.054721,0.958862
0.020000,4.401742,6.095775,2.735832,0.679673,-0.301572,14.518660,1.001546
0.020000,4.408822,6.107371,2.749419,0.679357,-0.015802,14.288525,1.043630
0.020000,4.415463,6.119342,2.763108,0.684457,0.255036,13.541882,1.084811
0.020000,4.421701,6.131751,2.776997,0.694460,0.500116,12.254039,1.124812
0.020000,4.427564,6.144655,2.791171,0.708681,0.711058,10.547086,1.163397
0.020000,4.433070,6.158099,2.805698,0.726354,0.883676,8.630869,1.200371
0.020000,4.438227,6.172114,2.820632,0.746677,1.016140,6.623230,1.235584
0.020000,4.443039,6.186719,2.836009,0.768859,1.109079,4.646920,1.268933
0.020000,4.447507,6.201919,2.851852,0.792173,1.165703,2.831219,1.300354
0.020000,4.451631,6.217709,2.868172,0.815981,1.190419,1.235782,1.329819
0.020000,4.455411,6.234073,2.884967,0.839747,1.188279,-0.106990,1.357330
0.020000,4.458848,6.250988,2.902228,0.863038,1.164556,-1.186121,1.382914
0.020000,4.461946,6.268425,2.919938,0.885523,1.124261,-2.014783,1.406616
0.020000,4.464711,6.286353,2.938077,0.906958,1.071753,-2.625407,1.428496
0.020000,4.467153,6.304735,2.956621,0.927191,1.011620,-3.006618,1.448621
0.020000,4.469283,6.323537,2.975543,0.946111,0.946027,-3.279658,1.467064
0.020000,4.471114,6.342723,2.994817,0.963677,0.878276,-3.387529,1.483903
0.020000,4.472663,6.362260,3.014414,0.979884,0.810371,-3.395293,1.499213
0.020000,4.473945,6.382113,3.034309,0.994750,0.743307,-3.353181,1.513070
0.020000,4.474981,6.402253,3.054476,1.008324,0.678665,-3.232087,1.525546
0.020000,4.475788,6.422650,3.074889,1.020668,0.617224,-3.072081,1.536712
0.020000,4.476387,6.443279,3.095526,1.031838,0.558511,-2.935608,1.546632
0.020000,4.476797,6.464113,3.116365,1.041924,0.504297,-2.710701,1.555368
0.020000,4.477039,6.485132,3.137384,1.050995,0.453547,-2.537514,1.562977
0.020000,4.477134,6.506314,3.158567,1.059128,0.406661,-2.344288,1.569511
0.020000,4.477101,6.527642,3.179895,1.066400,0.363597,-2.153241,1.575020
0.020000,4.476960,6.549099,3.201353,1.072884,0.324188,-1.970410,1.579546
0.020000,4.476730,6.570671,3.222926,1.078644,0.288016,-1.808601,1.583132
0.020000,4.476432,6.592344,3.244601,1.083756,0.255560,-1.622804,1.585814
0.020000,4.476084,6.614106,3.266366,1.088270,0.225744,-1.490794,1.587625
0.020000,4.475705,6.635948,3.288211,1.092252,0.199074,-1.333542,1.588595
0.020000,4.475311,6.657860,3.310126,1.095750,0.174894,-1.209002,1.588751
0.020000,4.474922,6.679832,3.332102,1.098814,0.153184,-1.085455,1.588118
0.020000,4.474555,6.701859,3.354132,1.101488,0.133715,-0.973491,1.586718
0.020000,4.474226,6.723933,3.376208,1.103813,0.116258,-0.872837,1.584570
0.020000,4.473952,6.746048,3.398325,1.105825,0.100595,-0.783161,1.581692
0.020000,4.473749,6.768198,3.420476,1.107555,0.086513,-0.704105,1.578100
0.020000,4.473633,6.790378,3.442657,1.109037,0.074115,-0.619868,1.573807
0.020000,4.473620,6.812584,3.464863,1.110289,0.062598,-0.575854,1.568828
0.020000,4.473726,6.834811,3.487089,1.111340,0.052516,-0.504111,1.563172
0.020000,4.473964,6.857053,3.509333,1.112198,0.042892,-0.481208,1.556851
0.020000,4.474351,6.879308,3.531591,1.112889,0.034582,-0.415513,1.549874
0.020000,4.474901,6.901569,3.553859,1.113415,0.026295,-0.414307,1.542251
0.020000,4.475627,6.923833,3.576135,1.113784,0.018457,-0.391906,1.533991
0.020000,4.476545,6.946094,3.598415,1.114002,0.010870,-0.379381,1.525101
0.020000,4.477667,6.968347,3.620696,1.114066,0.003234,-0.381779,1.515591
0.020000,4.479008,6.990586,3.642976,1.113973,-0.004643,-0.393876,1.505468
0.020000,4.480580,7.012805,3.665250,1.113715,-0.012911,-0.413376,1.494744
0.020000,4.482396,7.034997,3.687516,1.113290,-0.021257,-0.417291,1.483427
0.020000,4.484469,7.057153,3.709769,1.112662,-0.031426,-0.508468,1.471528
0.020000,4.486810,7.079266,3.732006,1.111827,-0.041737,-0.515517,1.459059
0.020000,4.489429,7.101327,3.754221,1.110763,-0.053212,-0.573752,1.446033
0.020000,4.492339,7.123324,3.776410,1.109438,-0.066230,-0.650908,1.432465
0.020000,4.495548,7.145247,3.798566,1.107823,-0.080770,-0.727024,1.418371
0.020000,4.499064,7.167083,3.820684,1.105898,-0.096254,-0.774167,1.403768
0.020000,4.502897,7.188820,3.842757,1.103617,-0.114041,-0.889383,1.388677
0.020000,4.507053,7.210443,3.864775,1.100946,-0.133536,-0.974742,1.373119
0.020000,4.511536,7.231938,3.886732,1.097851,-0.154770,-1.061711,1.357118
0.020000,4.516352,7.253287,3.908618,1.094292,-0.177939,-1.158415,1.340701
0.020000,4.521502,7.274475,3.930423,1.090237,-0.202764,-1.241269,1.323895
0.020000,4.526989,7.295483,3.952136,1.085639,-0.229871,-1.355373,1.306730
0.020000,4.532810,7.316293,3.973745,1.080465,-0.258711,-1.441982,1.289240
0.020000,4.538965,7.336887,3.995239,1.074690,-0.288718,-1.500372,1.271458
0.020000,4.545449,7.357245,4.016604,1.068272,-0.320918,-1.609992,1.253420
0.020000,4.552255,7.377348,4.037828,1.061193,-0.353966,-1.652375,1.235163
0.020000,4.559377,7.397176,4.058897,1.053427,-0.388295,-1.716464,1.216727
0.020000,4.566805,7.416711,4.079796,1.044959,-0.423401,-1.755317,1.198150
0.020000,4.574526,7.435934,4.100512,1.035779,-0.459014,-1.780618,1.179472
0.020000,4.582529,7.454826,4.121029,1.025882,-0.494828,-1.790711,1.160735
0.020000,4.590798,7.473372,4.141334,1.015262,-0.531002,-1.808680,1.141978
0.020000,4.599317,7.491554,4.161413,1.003944,-0.565896,-1.744709,1.123241
0.020000,4.608069,7.509357,4.181252,0.991927,-0.600869,-1.748683,1.104564
0.020000,4.617035,7.526770,4.200837,0.979246,-0.634057,-1.659366,1.085983
0.020000,4.626195,7.543778,4.220155,0.965896,-0.667460,-1.670137,1.067536
0.020000,4.635529,7.560371,4.239194,0.951946,-0.697508,-1.502406,1.049257
0.020000,4.645016,7.576542,4.257942,0.937413,-0.726664,-1.457841,1.031178
0.020000,4.654635,7.592283,4.276389,0.922339,-0.753684,-1.350956,1.013332
0.020000,4.664364,7.607587,4.294523,0.906742,-0.779884,-1.310043,0.995745
0.020000,4.674182,7.622451,4.312338,0.890707,-0.801719,-1.091738,0.978444
0.020000,4.684067,7.636874,4.329823,0.874253,-0.822687,-1.048394,0.961452
0.020000,4.693998,7.650854,4.346971,0.857439,-0.840724,-0.901826,0.944790
0.020000,4.703955,7.664392,4.363777,0.840266,-0.858626,-0.895108,0.928476
0.020000,4.713919,7.677490,4.380234,0.822843,-0.871168,-0.627101,0.912525
0.020000,4.723869,7.690152,4.396337,0.805180,-0.883159,-0.599573,0.896952
0.020000,4.733788,7.702381,4.412084,0.787319,-0.893032,-0.493633,0.881767
0.020000,4.743657,7.714184,4.427469,0.769264,-0.902773,-0.487079,0.866980
0.020000,4.753461,7.725567,4.442492,0.751146,-0.905895,-0.156056,0.852596
0.020000,4.763183,7.736536,4.457150,0.732887,-0.912969,-0.353730,0.838622
0.020000,4.772810,7.747101,4.471442,0.714618,-0.913437,-0.023371,0.825060
0.020000,4.782326,7.757268,4.485368,0.696294,-0.916171,-0.136711,0.811912
0.020000,4.791718,7.767047,4.498927,0.677948,-0.917311,-0.057030,0.799179
0.020000,4.800976,7.776447,4.512120,0.659644,-0.915194,0.105877,0.786859
0.020000,4.810086,7.785476,4.524947,0.641351,-0.914682,0.025614,0.774950
0.020000,4.819041,7.794144,4.537410,0.623144,-0.910346,0.216781,0.763449
0.020000,4.827829,7.802462,4.549510,0.605040,-0.905202,0.257184,0.752352
0.020000,4.836442,7.810438,4.561249,0.586910,-0.906508,-0.065307,0.741655
0.020000,4.844872,7.818082,4.572628,0.568985,-0.896222,0.514344,0.731351
0.020000,4.853113,7.825402,4.583651,0.551131,-0.892726,0.174767,0.721435
0.020000,4.861155,7.832409,4.594318,0.533334,-0.889812,0.145705,0.711903
0.020000,4.868995,7.839111,4.604632,0.515705,-0.881456,0.417822,0.702746
0.020000,4.876627,7.845518,4.614596,0.498195,-0.875495,0.298020,0.693957
0.020000,4.884044,7.851636,4.624211,0.480750,-0.872278,0.160843,0.685532
0.020000,4.891243,7.857475,4.633480,0.463481,-0.863434,0.442244,0.677462
0.020000,4.898220,7.863044,4.642408,0.446371,-0.855510,0.396155,0.669740
0.020000,4.904971,7.868349,4.650993,0.429264,-0.855348,0.008131,0.662360
0.020000,4.911493,7.873398,4.659241,0.412409,-0.842766,0.629112,0.655314
0.020000,4.917782,7.878199,4.667153,0.395588,-0.841013,0.087626,0.648597
0.020000,4.923835,7.882757,4.674731,0.378896,-0.834617,0.319794,0.642201
0.020000,4.929652,7.887080,4.681978,0.362344,-0.827587,0.351510,0.636120
0.020000,4.935228,7.891174,4.688895,0.345896,-0.822390,0.259827,0.630348
0.020000,4.940563,7.895044,4.695487,0.329559,-0.816883,0.275396,0.624878
0.020000,4.945655,7.898697,4.701753,0.313337,-0.811071,0.290564,0.619705
0.020000,4.950501,7.902136,4.707696,0.297125,-0.810594,0.023877,0.614824
0.020000,4.955102,7.905369,4.713318,0.281116,-0.800487,0.505351,0.610229
0.020000,4.959454,7.908399,4.718621,0.265162,-0.797712,0.138747,0.605915
0.020000,4.963558,7.911230,4.723607,0.249283,-0.793906,0.190304,0.601877
0.020000,4.967412,7.913866,4.728277,0.233470,-0.790645,0.163023,0.598111
0.020000,4.971016,7.916313,4.732632,0.217781,-0.784470,0.308768,0.594612
0.020000,4.974368,7.918572,4.736675,0.202140,-0.782077,0.119658,0.591376
0.020000,4.977469,7.920647,4.740406,0.186550,-0.779490,0.129327,0.588401
0.020000,4.980316,7.922542,4.743826,0.171016,-0.776710,0.139026,0.585681
0.020000,4.982911,7.924258,4.746937,0.155541,-0.773735,0.148741,0.583215
0.020000,4.985252,7.925799,4.749740,0.140130,-0.770566,0.158454,0.581000
0.020000,4.987339,7.927167,4.752235,0.124785,-0.767203,0.168149,0.579031
0.020000,4.989173,7.928363,4.754425,0.109461,-0.766247,0.047791,0.577309
0.020000,4.990751,7.929389,4.756307,0.094131,-0.766492,-0.012245,0.575830
0.020000,4.992075,7.930248,4.757885,0.078913,-0.760891,0.280039,0.574592
0.020000,4.993144,7.930939,4.759159,0.063654,-0.762937,-0.102313,0.573595
0.020000,4.993971,7.931473,4.760142,0.049194,-0.723006,1.996555,0.572825
0.020000,4.994585,7.931868,4.760873,0.036506,-0.634399,4.430342,0.572254
0.020000,4.995017,7.932147,4.761387,0.025710,-0.539813,4.729326,0.571853
0.020000,4.995300,7.932329,4.761723,0.016808,-0.445077,4.736790,0.571590
0.020000,4.995465,7.932435,4.761919,0.009803,-0.350239,4.741898,0.571437
0.020000,4.995544,7.932486,4.762013,0.004697,-0.255337,4.745097,0.571364
0.020000,4.995569,7.932502,4.762043,0.001489,-0.160400,4.746837,0.571340
0.020000,4.995572,7.932504,4.762046,0.000180,-0.065449,4.747574,0.571337
0.020000,4.995572,7.932504,4.762046,0.000000,-0.008986,2.823160,0.571337
